filename	duration
00.wav	10.0
01.wav	10.0
03.wav	10.0
05.wav	10.0
1003.wav	10.0
1007.wav	10.0
1009.wav	10.0
101.wav	10.0
1016.wav	10.0
1019.wav	10.0
102.wav	10.0
1020.wav	10.0
1031.wav	10.0
1032.wav	10.0
1034.wav	10.0
1037.wav	10.0
1039.wav	10.0
1041.wav	10.0
1042.wav	10.0
1044.wav	10.0
1045.wav	10.0
1048.wav	10.0
105.wav	10.0
1050.wav	10.0
1055.wav	10.0
106.wav	10.0
1060.wav	10.0
1062.wav	10.0
1065.wav	10.0
1069.wav	10.0
1070.wav	10.0
1072.wav	10.0
1074.wav	10.0
1075.wav	10.0
1081.wav	10.0
1083.wav	10.0
1084.wav	10.0
1086.wav	10.0
1087.wav	10.0
109.wav	10.0
1091.wav	10.0
1092.wav	10.0
1093.wav	10.0
1097.wav	10.0
1099.wav	10.0
110.wav	10.0
1102.wav	10.0
1103.wav	10.0
1105.wav	10.0
1106.wav	10.0
1107.wav	10.0
1108.wav	10.0
1110.wav	10.0
1111.wav	10.0
1112.wav	10.0
1114.wav	10.0
1118.wav	10.0
112.wav	10.0
1120.wav	10.0
1121.wav	10.0
1122.wav	10.0
1125.wav	10.0
1128.wav	10.0
1129.wav	10.0
1130.wav	10.0
1131.wav	10.0
1132.wav	10.0
1133.wav	10.0
1134.wav	10.0
1138.wav	10.0
1141.wav	10.0
1142.wav	10.0
1144.wav	10.0
1148.wav	10.0
1149.wav	10.0
115.wav	10.0
1150.wav	10.0
1152.wav	10.0
1155.wav	10.0
1160.wav	10.0
1164.wav	10.0
117.wav	10.0
1170.wav	10.0
1171.wav	10.0
1172.wav	10.0
1176.wav	10.0
118.wav	10.0
1180.wav	10.0
1181.wav	10.0
1182.wav	10.0
1183.wav	10.0
1184.wav	10.0
1185.wav	10.0
1186.wav	10.0
1187.wav	10.0
1188.wav	10.0
1189.wav	10.0
1190.wav	10.0
1191.wav	10.0
1192.wav	10.0
1194.wav	10.0
1197.wav	10.0
1198.wav	10.0
12.wav	10.0
1200.wav	10.0
1202.wav	10.0
1204.wav	10.0
1205.wav	10.0
1208.wav	10.0
1209.wav	10.0
121.wav	10.0
1213.wav	10.0
1214.wav	10.0
1215.wav	10.0
1216.wav	10.0
1217.wav	10.0
1219.wav	10.0
1220.wav	10.0
1224.wav	10.0
1225.wav	10.0
1226.wav	10.0
1227.wav	10.0
1228.wav	10.0
1229.wav	10.0
1230.wav	10.0
1231.wav	10.0
1233.wav	10.0
1235.wav	10.0
1236.wav	10.0
1237.wav	10.0
1239.wav	10.0
1240.wav	10.0
1242.wav	10.0
125.wav	10.0
1250.wav	10.0
1254.wav	10.0
1257.wav	10.0
1258.wav	10.0
1259.wav	10.0
126.wav	10.0
1262.wav	10.0
1264.wav	10.0
1265.wav	10.0
1267.wav	10.0
1268.wav	10.0
127.wav	10.0
1270.wav	10.0
1274.wav	10.0
1279.wav	10.0
1284.wav	10.0
1288.wav	10.0
129.wav	10.0
1292.wav	10.0
1296.wav	10.0
1298.wav	10.0
1299.wav	10.0
13.wav	10.0
130.wav	10.0
1301.wav	10.0
1303.wav	10.0
1304.wav	10.0
1305.wav	10.0
1309.wav	10.0
131.wav	10.0
1312.wav	10.0
1313.wav	10.0
1314.wav	10.0
1316.wav	10.0
1318.wav	10.0
1319.wav	10.0
132.wav	10.0
1320.wav	10.0
1324.wav	10.0
1325.wav	10.0
1326.wav	10.0
1327.wav	10.0
1329.wav	10.0
1331.wav	10.0
1332.wav	10.0
1333.wav	10.0
1335.wav	10.0
1336.wav	10.0
1340.wav	10.0
1341.wav	10.0
1344.wav	10.0
1345.wav	10.0
1346.wav	10.0
1347.wav	10.0
135.wav	10.0
1350.wav	10.0
1352.wav	10.0
1353.wav	10.0
1354.wav	10.0
1356.wav	10.0
1358.wav	10.0
1359.wav	10.0
1361.wav	10.0
1364.wav	10.0
1365.wav	10.0
1367.wav	10.0
1368.wav	10.0
